Latitude,Longitude
13.06523,77.5932
13.06566,77.59319
13.06607,77.59316
13.06713,77.59307
13.06728,77.59305
13.06744,77.59303
13.06891,77.59291
13.07005,77.59283
13.07219,77.59268
13.07337,77.59261
13.07345,77.5926
13.07353,77.5926
13.074,77.59259
13.07446,77.59259
13.07487,77.5926
13.07542,77.59263
13.07585,77.59265
13.07621,77.59269
13.0769,77.59276
13.08016,77.59306
13.08175,77.5932
13.08188,77.59322
13.08202,77.59325
13.08227,77.59329
13.08284,77.59343
13.08324,77.59357
13.08446,77.59405
13.08546,77.59445
13.08585,77.5946
13.08623,77.59475
13.08633,77.59479
13.08727,77.59519
13.0878,77.59543
13.08817,77.59559
13.0887,77.59582
13.0892,77.59603
13.08957,77.59618
13.08983,77.59628
13.09001,77.59635
13.0904,77.59648
13.09086,77.59655
13.09126,77.59667
13.09171,77.59674
13.09248,77.5969
13.09301,77.59702
13.09368,77.59719
13.09412,77.5973
13.09472,77.59749
13.09528,77.5977
13.09584,77.59792
13.09745,77.59855
13.09781,77.59869
13.09816,77.59883
13.09876,77.59901
13.10123,77.59969
13.10181,77.59985
13.10239,77.60001
13.10308,77.6002
13.10346,77.60031
13.10353,77.60033
13.10358,77.60035
13.10362,77.60036
13.1037,77.6004
13.10384,77.60044
13.10411,77.60054
13.10453,77.60072
13.10475,77.60082
13.10518,77.60102
13.10537,77.60113
13.10563,77.60127
13.1062,77.60161
13.10936,77.60351
13.11021,77.60402
13.11109,77.60454
13.11133,77.6047
13.11158,77.60486
13.1131,77.60579
13.11404,77.60636
13.11432,77.60653
13.11485,77.60686
13.11513,77.60702
13.11545,77.60723
13.11633,77.60777
13.11711,77.60825
13.11761,77.60854
13.11812,77.60882
13.1189,77.60922
13.11942,77.60949
13.11993,77.60975
13.12061,77.61009
13.12126,77.6104
13.12159,77.61055
13.12172,77.61061
13.12189,77.61069
13.12206,77.61077
13.12309,77.61127
13.12441,77.61188
13.12488,77.61211
13.1278,77.61352
13.12792,77.61357
13.12844,77.61381
13.12977,77.61445
13.12979,77.61445
13.13085,77.61496
13.13117,77.61511
13.13154,77.61528
13.13163,77.61532
13.13164,77.61533
13.13174,77.61537
13.13256,77.61577
13.13302,77.61598
13.13377,77.61633
13.13448,77.61666
13.13514,77.61694
